latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,price,is_entire,is_private,is_shared,dist_copacabana,dist_ipanema,dist_leblon,dist_cristo_redentor,dist_pao_de_acucar,dist_sdumont_airport,dist_min_praias_sul,dist_min_turistico,dist_media_praias_sul,has_wifi,has_ac,has_pool,has_beachfront,has_kitchen,has_parking,has_washer,amenities_count,amen_lux_abs,amen_lux_rel,geo_cluster,geo_cluster_mean_price,geo_cluster_0,geo_cluster_1,geo_cluster_2,geo_cluster_3,geo_cluster_4,geo_cluster_5,geo_cluster_6,geo_cluster_7,geo_cluster_8,geo_cluster_9,accommodates_per_bedroom,accommodates_per_bathroom,beds_per_bedroom,stay_span,has_reviews
-22.97457,-43.18922,4,2.0,2.0,2.0,3,150,34,409.0,1.0,0.0,0.0,0.8157072,1.8846875,3.6691353,3.331844,4.43741,7.6201997,0.8157072,3.331844,2.1231766,1.0,0.0,0.0,1.0,1.0,0.0,1.0,45.0,-89.56695,0.87102437,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,147.0,1.0
-22.97923,-43.18963,3,1.0,0.0,2.0,2,30,24,443.0,1.0,0.0,0.0,1.1814471,1.6271945,3.4887078,3.7149377,4.822596,8.121372,1.1814471,3.7149377,2.0991166,1.0,1.0,0.0,1.0,1.0,0.0,0.0,20.0,-2.8221617,0.9959361,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,28.0,1.0
-22.95559,-43.1849,4,1.0,2.0,3.0,2,150,10,265.0,1.0,0.0,0.0,1.7466471,3.7217293,5.1332173,2.6531167,3.0158303,5.4984965,1.7466471,2.6531167,3.5338643,1.0,1.0,0.0,0.0,1.0,0.0,1.0,32.0,-77.4953,0.88840747,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,1.5,148.0,1.0
-22.95644,-43.19992,1,1.0,1.0,1.0,2,730,8,189.0,0.0,1.0,0.0,2.4389951,3.0611,4.0120573,1.1951408,4.534836,6.358122,2.4389951,1.1951408,3.1707175,1.0,1.0,0.0,0.0,1.0,0.0,1.0,32.0,-83.03088,0.88043624,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,728.0,1.0
-22.96055,-43.22285,4,2.0,1.0,1.0,3,90,6,631.0,0.0,1.0,0.0,4.323977,3.1597338,2.7854753,1.5887378,6.9266076,8.278557,2.7854753,1.5887378,3.423062,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,222.43082,1.3202984,5.0,1168.1151,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,87.0,1.0
-22.94373,-43.19147,4,1.0,1.0,1.0,3,30,27,300.0,0.0,1.0,0.0,3.1879728,4.6386533,5.665381,2.149943,3.618256,4.709212,3.1879728,2.149943,4.4973354,1.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,-65.3561,0.9058878,1.0,478.42426,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,27.0,1.0
-22.9288,-43.24046,2,1.0,1.0,1.0,1,365,8,154.0,0.0,1.0,0.0,7.5966964,7.1036353,6.5639987,4.001234,8.869599,8.182838,6.5639987,4.001234,7.08811,1.0,1.0,0.0,0.0,1.0,1.0,1.0,50.0,-20.924072,0.9698695,4.0,401.52313,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,364.0,1.0
-22.982141,-43.19244,2,1.0,1.0,2.0,4,30,44,138.0,0.0,1.0,0.0,1.6142923,1.275763,3.152043,3.837541,5.254977,8.524172,1.275763,3.837541,2.0140326,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,-78.815414,0.8865065,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,26.0,1.0
-22.94923,-43.38792,4,1.0,2.0,2.0,1,365,0,160.0,0.0,1.0,0.0,21.202696,19.13356,17.362106,18.168976,23.696253,23.424862,17.362106,18.168976,19.232788,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,140.14667,1.20181,0.0,784.8122,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,364.0,0.0
-22.95382,-43.18908,2,1.0,0.0,1.0,3,15,5,414.0,0.0,1.0,0.0,2.0464957,3.6817715,4.9544973,2.2035856,3.3899508,5.512605,2.0464957,2.2035856,3.5609214,1.0,1.0,0.0,0.0,1.0,1.0,1.0,13.0,27.207232,1.0391781,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,1.0
